fi id	sw	en
ACE-estäjän käyttö	51
Aiemman antibiotin nimi	434
Aiemman ehkäisymenetelmän sopivuus	182
Aivohalvausoireet	292
Aivoverenkiertohäiriö (kyllä/ei/en tiedä)	448
Akne (kyllä/ei)	191
Alapaine yli 130 mmHg?	401
Alapaine, mmHg (diabetes)	495
Alapaine, mmHg (munuaissairaus)	500
Alapaine, mmHg (yleinen)	490
Alkoholi	839
Alkoholiannokset	840
Alkoholiannosten määrä	540
Alkoholin käyttö	539
Alkoholin käyttö (kyllä/ei)	185
Alkoholitottumusten muutostavoitteet	543
Altistavat sairaudet (tuberkuloosiepäily)	252
Altistavat tekijät	203
Altistavat tekijät (säären kipu)	253
Anamneesi	382
Antibioottikuuri 1 kk:n sisällä	712
Antibioottikuuri kuukauden aikana (kyllä/ei)	237
Antibioottikuuri menossa (kyllä/ei)	206
Antibioottikuuri VTI-tulehdukseen kuukauden sisällä (kyllä/ei)	23
Antibioottikuurin päättyminen (vrk)	208
Antibioottiresistenssi	660
Antibioottiyliherkkyys (kyllä/ei)	26
Arvelen tarvitsevani muuta hoitoa ja haluan täyttää kyselyn	11
Astma (diagnosoitu)	45
Asumistilanne	732
AUDIT-kyselyn pisteet	186
Avun tarve alkoholitottumusten muuttamiseen	544
Avun tarve liikuntatottumusten tehostamiseen	537
Avun tarve painonhallinnassa	554
Avun tarve ravitsemusmuutoksissa	566
Avun tarve tupakoinnin vähentämiseen	549
BCG-rokotus (kyllä/ei/en tiedä)	249
Diabetes (kesto yli 10 vuotta) (kyllä/ei)	33
Diabetes (kyllä/ei/en tiedä)	446
Edeltävä rasitus (polvioire)	697
Ekstensiorajoitus (polvilähete)	365
Ensimmäinen virtsatietulehdus	702
Eteenpäin kumartelu (närästysoiretta pahentava tekijä)	319
Fleksioliikerata (polvilähete)	367
Fleksiorajoitus (polvilähete)	366
Flunssaoire (kyllä/ei)	84
Fysioterapeutin ohjaus polvioireeseen	690
Fysioterapia 6 kk:n aikana	125
Fysioterapian toteutus	375
Fyysinen yleiskunto	74
Haitta toimintakykyyn (polvilähete)	358
Hakkaavaa yöyskää	593
Hapon erityksen estolääkitys (närästys, muut sairaudet)	325
Hengenahdistuksen alkaminen (yliherkkyysoire)	63
Hengenahdistuksen esiintyminen aiemmin	58
Hengenahdistus (alku ja kesto)	57
Hengenahdistus (herääminen öisin)	73
Hengenahdistus (itsehoito)	70
Hengenahdistus (itsehoito-ohjeet)	69
Hengenahdistus (oireiden paheneminen)	68
Hengenahdistus (perussairaus)	67
Hengenahdistus (rasituksessa)	72
Hengenahdistus (voimakkuus)	56
Hengenahdistus levossa	36
Hengenahdistus-artikkelin tulostuslinkki	260
Hengitettävä kortisonilääkitys	46
Hengityksen vinkuminen	714
Hengityksen äkillinen salpautuminen	65
Hengitysteiden oireet	137
Hengitystieoire (vierasesine)	66
Hengitystieoireet (muu ongelma)	293
Hengitystieoireet kurkkukipupotilaalla	17
Hengitystieoireet yli 10 vrk	585
Hengitystietulehdus, tarkentavat kysymykset	654
Hengitystiheys yli 25/min	605
Henkinen hyvinvointi	847
Hiljattain päättynyt antibioottikuuri (kyllä/ei)	207
Hiljattain päättynyt ulkomaanmatka (kyllä/ei)	204
HIV-infektion ensivaiheen oireet (sukupuolitautitartuntaepäily)	242
Hoidon tavoitteet	485
Hoitajan suhde hoidettavaan	729
Hoitamiseen käytetty aika viikossa	727
Hoitoon pääsyn pisteytys	377
Hoivan tarve asioinnissa ja kodinhoidossa hv-arvio	675
Hoivan tarve henkilökohtaisissa toiminnoissa hv-arvio	674
Hoivan tarve hv-arvio	672
Huimaus (alku)	81
Huimaus (kesto)	79
Huimaus (lisäoireet)	82
Huimaus (tyyppi)	80
Huimaus-artikkelin tulostuslinkki	261
Huono ruokahalu/ruokahaluttomuus	199
Huono yleisvointi	201
Hyvä suhde hoidettavaan	743
Hälyttävät oireet (Rähmivä silmä)	610
Hälyttävät oireet (vatsa)	514
Ikä	3
Ikääntymiseen liittyvät rajoitteet hv-arvio	670
Imetys (kyllä/ei)	184
Iskun jälkeinen päänsärky	283
Itsehoidon arviointi	20
Itsehoito-ohje vai lisäkysymykset	588
Itsehoito-ohjeen tulostaminen (Rähmivä silmä)	615
Jatkoseuranta	776
Jatkuva lääkitys (kyllä/ei)	29
Joukkoliikenteen käyttö hv-arvio	681
Jälkitiputtelu	760
Jälkitiputtelun haitta	761
Kaasun hengittäminen (hengenahdistus)	64
Kahden kysymyksen masennusseula, kysymys 1	906
Kahden kysymyksen masennusseula, kysymys 2	907
Kalan käyttö	561
Kasvisten syönti	556
Kaulan tai kasvojen turvotus	146
Kehkotuberkuloosi: väsymys	1074
Keuhkoahtaumatauti (diagnosoitu)	52
